num,work_name,location,salary,work_year,educate,company_name,company_type,financing_conditions,company_size,city,nums
853,AI技术工程师,杭州·萧山区·钱江世纪城,30000,1-3年,博士,辛选集团,电子商务,不需要融资,1000-9999人,杭州,1
854,AI产品经理,杭州·滨江区·长河,30000,5-7年,本科,阿里巴巴集团,互联网,已上市,10000人以上,杭州,1
855,Golang 大模型AI应用后端开发,北京·东城区·交道口,21500,经验不限,博士,博良胜合,计算机服务,未融资,0-20人,北京,1
856,人工智能算法工程师,北京·顺义区·南法信,40000,3-5年,硕士,北京阿法龙科技,智能硬件,A轮,20-99人,北京,1
857,AI大数据架构师,武汉·江夏区·关山,21500,3-5年,大专,百智诚远,计算机服务,未融资,20-99人,武汉,1
858,AI性能架构师,深圳,170000,经验不限,本科,某500强上市公司,移动互联网,已上市,10000人以上,深圳,1
859,人工智能架构师,广州,60000,1-3年,本科,某大型知名保险公司,保险,未融资,10000人以上,广州,1
860,急急急高级产品经理（AI软件方向）,成都,22500,5-7年,大专,某大型广告公司,广告/公关/会展,不需要融资,100-499人,成都,1
861,AI产品经理,北京·海淀区·苏州桥,12500,1-3年,大专,狐獴暖心科技,生活服务,未融资,0-20人,北京,1
862,AI框架适配优化研发工程师,长沙·开福区·湘雅路,22500,5-7年,本科,飞腾公司,电子/半导体/集成电路,不需要融资,1000-9999人,长沙,1
863,AI模型开发工程师,上海·普陀区·梅川路,45000,1-3年,学历不限,芯后智能,数据服务,未融资,20-99人,上海,1
864,人工智能产品经理,深圳·南山区·科技园,10000,1-3年,博士,深圳金智凌轩视讯...,通信/网络设备,未融资,20-99人,深圳,1
865,售前工程师（人工智能）,福州·鼓楼区·东街口,15500,7年以上,本科,捷通华声,互联网,C轮,100-499人,福州,1
866,ai产品经理,合肥,22500,7年以上,本科,某大型知名计算机软件上市公司,计算机软件,已上市,10000人以上,合肥,1
867,AI算法研究员-base北上深,上海,55000,1-3年,本科,某知名企业,基金,不需要融资,100-499人,上海,1
868,图像AI算法实习/全职工程师,嘉兴,5500,1-3年,本科,嘉兴像景智能,电子/半导体/集成电路,A轮,0-20人,嘉兴,1
869,高级ai产品经理,北京·海淀区·中关村,32500,1-3年,博士,思图场景,互联网,B轮,100-499人,北京,1
870,ai产品经理,北京,72500,1-3年,博士,某500强上市公司,互联网,已上市,10000人以上,北京,1
871,直招--AI产品经理（知名企业 ）,广州,22500,5-7年,本科,某移动互联网公司,移动互联网,未融资,20-99人,广州,1
872,AI推理框架研发工程师,上海,47500,7年以上,硕士,某大型电子公司,电子/半导体/集成电路,未融资,500-999人,上海,1
873,AI产品总监,北京,95000,5-7年,本科,某大型计算机服务公司,计算机服务,未融资,100-499人,北京,1
874,AI Engineer（AI工程师）,南京·雨花台区·小行,20000,3-5年,大专,宝马诚迈,计算机软件,不需要融资,100-499人,南京,1
875,AI开发工程师,广州·天河区·体育中心,17500,3-5年,本科,湖南拓维信创系统集成,计算机软件,未融资,1000-9999人,广州,1
876,AI数据审核（应届生亦可）,北京·海淀区·西北旺,12500,3-5年,大专,中软国际,计算机软件,已上市,10000人以上,北京,1
877,人工智能,济南·历城区·唐冶,10500,1-3年,本科,山东比亚科技,电力/热力/燃气/水利,不需要融资,100-499人,济南,1
878,机器学习游戏AI工程师-杭州,杭州,25000,1-3年,博士,某500强上市公司,游戏,已上市,10000人以上,杭州,1
879,AI语音工程师,上海·普陀区·曹杨,37500,1-3年,本科,博星信息科技有限公司,电子商务,未融资,20-99人,上海,1
880,AI短视频编导,北京,25000,3-5年,硕士,某大型互联网公司,互联网,天使轮,100-499人,北京,1
881,人工智能专家,北京,37500,1-3年,本科,某500强上市公司,互联网,已上市,10000人以上,北京,1
